Date=, ,Hours,Avg,Total,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1/1/2017 0:00,DA,24,29.53,708.74,32.41,32.34,32.01,31.91,31.04,32.9,34.93,35.24,29.95,17.24,9.33,4.84,3.11,2.76,8.21,27.63,36.35,51.04,51.57,45.82,41.37,44,37.96,34.79
1/2/2017 0:00,DA,24,36.63,879.13,31.37,30.66,29.13,28.43,29.69,33.13,34.65,35.81,36.4,33.37,30.97,30.84,26.96,27.79,30.82,35.37,41.65,54.59,56.93,53.46,47.97,44.89,38.1,36.14
1/3/2017 0:00,DA,24,42.52,"1,020.43",32.8,31.01,30.44,29.77,30.71,36.07,47.97,54.81,46.62,41.05,37.74,35.11,32.33,34.58,38.59,41.12,52.99,63.35,66.45,56.5,54.5,47.76,40.75,37.42
1/4/2017 0:00,DA,24,37.73,905.46,29.37,28.93,28.33,27.3,28.93,37.28,42.65,46.96,40.5,36.61,35.27,33.26,27.63,30.93,33.97,38.67,43.66,54,53.69,47.43,44.45,41.26,38.09,36.29
1/5/2017 0:00,DA,24,37.79,906.94,30.08,28.46,27.7,27.68,28.66,36.01,41.35,43.12,40.59,37.85,36.35,34.15,31.5,35.21,36.79,38.61,44.08,53.99,51.95,45.64,42.58,41.88,37.37,35.34
1/6/2017 0:00,DA,24,34.33,823.86,27.83,26.83,25.25,26.2,28.31,34.31,42.27,46.66,38.07,32.38,19.81,20.31,13.07,25.61,28.8,35.43,42.37,57.02,51.66,48.16,42.25,39.58,36.99,34.65
1/7/2017 0:00,DA,24,35.57,853.66,30.22,28.36,27.82,28.2,28.28,29.08,34.38,37.13,40.07,34.65,33.84,31.81,30,31.01,32.38,34.56,42.61,54.21,50.78,44.68,40.52,39.49,35.74,33.85
1/8/2017 0:00,DA,24,32.84,788.23,31.44,30.63,28.35,27.77,27.72,30.29,31.21,30.3,30.13,27.29,26.94,27.04,26.02,26.17,26.77,31.02,37.19,49.4,49.99,46.23,42.89,38.52,33.22,31.71
1/9/2017 0:00,DA,24,36.31,871.34,26.83,26.73,24.72,23.59,25.26,30.84,41.57,48.21,41.49,38.79,36.65,34.09,29.88,30.3,31.08,34.82,44.35,57.19,49.51,47.42,42.57,40.8,33.51,31.15
1/10/2017 0:00,DA,24,33.23,797.56,23.3,22.15,21.55,21.78,22.28,28.88,36.18,42.68,38.32,34.82,27.93,28.46,25.62,29.17,29.95,34.8,39.42,53.98,48.62,46.48,41.52,37.67,32.6,29.38
